,song,lyrics
242533,Autobahn,[]
242535,L-O-V-E (Love),[]
242536,Lovin' You,[]
242538,Growin',[]
242559,The Bertha Butt Boogie-Part 1,[]
242560,What Am I Gonna Do With You,[]
242561,Shaving Cream,[]
242564,This Ol' Cowboy,[]
242580,It Ain't No Fun,[]
242632,Supernatural Thing - Part I,[]
242636,Emma,[]
242646,Pinball,[]
242648,My Little Lady,[]
242653,No No Song/snookeroo,[]
242667,Have You Never Been Mellow,[]
242669,Real Man,[]
242672,Once You Get Started,[]
242677,Shackin' Up,[]
242679,One More Tomorrow,[]
242681,Beer Barrel Polka/Dick And Jane,[]
242734,One Beautiful Day,[]
242747,Swing Your Daddy,[]
242755,You Are So Beautiful/It's A Sin When You Love Somebody,[]
242759,Express,[]
242760,Sun Goddess,[]
242762,Poetry Man,[]
242777,Don't Leave Me In The Morning,[]
242840,(if You Add) All The Love In The World,[]
242858,My Eyes Adored You,[]
242860,"Don't Call Us, We'll Call You",[]
242861,"Shame, Shame, Shame",[]
242863,Sad Sweet Dreamer,[]
242865,Satin Soul,[]
242873,Spider Jiving,[]
242879,Only One Woman,[]
242880,Hang On Sloopy,[]
242924,Harry Truman,[]
242948,Tangled Up In Blue,[]
242957,Cry To Me,[]
242959,We're Almost There,[]
242964,"Reach Out, I'll Be There",[]
242965,I Am Love (Parts I & II),[]
242967,A Hurricane Is Coming Tonite,[]
242969,"Living A Little, Laughing A Little",[]
242971,Sandy,[]
242979,Sneaky Snake,[]
243026,Who's Sorry Now,[]
243032,Butter Boy,[]
243033,Love Finds It's Own Way,[]
243035,Wolf Creek Pass,[]
243036,Black Water,[]
243042,The South's Gonna Do It,[]
243064,Toby/that's How Long,[]
243079,Linda On My Mind,[]
243080,My First Day Without Her,[]
243081,I Wanna Learn A Love Song,[]
243083,The Pill,[]
243139,I'm Her Fool,[]
243143,Can't Get It Out Of My Head,[]
243151,To The Door Of The Sun (Alle Porte Del Sole),[]
243177,Live Your Life Before You Die,[]
243182,Where Is The Love,[]
243229,Lonely People,[]
243233,Up In A Puff Of Smoke,[]
243236,I Have A Dream,[]
243252,Pick Up The Pieces,[]
243253,Roll On Down The Highway,[]
243254,Part Of The Plan,[]
243258,Dance The Kung Fu,[]
243262,I'm A Woman,[]
243264,Leona,[]
243278,Everybody Wants To Find A Bluebird,[]
243280,Love Corporation,[]
243282,You And Your Baby Blues,[]
243284,It Do Feel Good,[]
243347,Hush/I'm Alive,[]
243349,Like A Sunday Morning,[]
243354,Nightingale,[]
243357,Never Let Her Go,[]
243363,I Get Lifted,[]
243364,You're No Good,[]
243365,Angel (What In The World's Come Over Us),[]
243366,Bump Me Baby Part 1,[]
243382,"Good Times, Rock & Roll",[]
243386,Where Have They Gone,[]
243437,I've Been This Way Before,[]
243440,Devil In The Bottle,[]
243459,Doctor's Orders,[]
243471,I'll Be Holding On,[]
243474,I Fought The Law,[]
243516,Some Kind Of Wonderful,[]
243533,#9 Dream,[]
243535,My Elusive Dreams,[]
243536,Boogie On Reggae Woman,[]
243546,Look In My Eyes Pretty Woman,[]
243547,Don't Take Your Love,[]
243555,If Loving You Is Wrong I Don't Want To Be Right,[]
243577,Smokin' Room,[]
243641,It's All Right,[]
243643,Get Dancin',[]
243647,Laughter In The Rain,[]
243650,Junior's Farm/Sally G,[]
243652,Mandy,[]
243654,Star On A TV Show,[]
243657,Lucy In The Sky With Diamonds,[]
243666,Future Shock,[]
243667,Morning Side Of The Mountain,[]
243683,Isn't It Lonely Together,[]
243736,Hot Dawgit,[]
243746,"Please, Mr. President",[]
243756,I Won't Last A Day Without You/Let Me Be The One,[]
243758,Rhyme Tyme People,[]
243759,Your Bulldog Drinks Champagne,[]
243767,One Man Woman/One Woman Man,[]
243773,I'll Still Love You,[]
243777,Charmer,[]
243830,Ain't That Peculiar,[]
243832,Rock N' Roll (I Gave You The Best Years Of My Life),[]
243835,Ding Dong; Ding Dong,[]
243843,Struttin',[]
243847,Thanks For The Smiles,[]
243856,Bungle In The Jungle,[]
243869,We May Never Love Like This Again,[]
243880,Believe Half Of What You See (And None Of What You Hear),[]
243881,I Just Can't Say Goodbye,[]
243884,Love Don't You Go Through No Changes On Me,[]
243940,"You're The First, The Last, My Everything",[]
243946,Kung Fu Fighting,[]
243947,Angie Baby,[]
243949,Ride 'em Cowboy,[]
243961,I Am I Am,[]
244031,The Entertainer,[]
244038,From His Woman To You,[]
244040,As Long As He Takes Care Of Home,[]
244047,I Feel A Song (In My Heart)/Don't Burn Down The Bridge,[]
244051,"Hoppy, Gene And Me",[]
244058,"Baby, Hang Up The Phone",[]
244060,Midnight Sky (Part 1),[]
244068,Sha-La-La (Make Me Happy),[]
244080,Let Me Start Tonite,[]
244082,Chico And The Man,[]
244084,Crazy Talk,[]
244086,Costafine Town,[]
244134,You Got The Love,[]
244139,When A Child Is Born,[]
244145,Day Tripper,[]
244155,Do It ('til You're Satisfied),[]
244158,I've Got The Music In Me,[]
244165,When Will I See You Again,[]
244170,I Can Help,[]
244177,One Tear,[]
244178,Wishing You Were Here,[]
244182,Gee Baby,[]
244230,"Ruby, Baby",[]
244234,Sunshine Part II,[]
244235,Sugar Pie Guy Pt. 1,[]
244239,Must Of Got Lost,[]
244250,Promised Land,[]
244259,Fairytale,[]
244279,Heartbreak Road,[]
244281,"What A Man, My Man Is",[]
244346,Funky President (People It's Bad)/Coldblooded,[]
244348,My Melody Of Love,[]
244350,Philadelphia,[]
244353,You Ain't Seen Nothing Yet/Free Wheelin',[]
244362,Let's Straighten It Out,[]
244364,Don't Cha Love It,[]
244365,Longfellow Serenade,[]
244380,Ms. Grace,[]
244455,"Whatever You Got, I Want",[]
244465,Whatever Gets You Thru The Night,[]
244467,Back Home Again,[]
244472,I Feel Sanctified,[]
244479,I Wouldn't Treat A Dog (The Way You Treated Me),[]
244538,Willie And The Hand Jive,[]
244547,Heavy Fallin' Out,[]
244553,The Heartbreak Kid,[]
244578,Christmas Dream,[]
244581,Rockin' Soul,[]
244582,The Need To Be,[]
244585,After The Goldrush,[]
244657,"Fire, Baby I'm On Fire",[]
244662,My Main Man,[]
244664,Sexy Ida (Part 1),[]
244677,Mine For Me,[]
244686,So You Are A Star,[]
244752,Black Lassie (Featuring Johnny Stash),[]
244755,Play Something Sweet (Brickyard Blues),[]
244758,Shoe Shoe Shine,[]
244765,Sunshine Roses,[]
244769,Dreams Are Ten A Penny,[]
244772,Life Is A Rock (But The Radio Rolled Me),[]
244774,Love Don't Love Nobody - Pt. I,[]
244775,Where Are All My Friends,[]
244776,People Gotta Move,[]
244780,Jazzman,[]
244785,Three Ring Circus,[]
244786,Ride The Tiger,[]
244857,Ask Me,[]
244863,La La Peace Song,[]
244864,The Bitch Is Back,[]
244877,Let This Be A Lesson To You,[]
244878,The Black-Eyed Boys,[]
244879,You Haven't Done Nothin,[]
244883,Rock 'N' Roll (I Gave You The Best Years Of My Life),[]
244884,Mississippi Cotton Picking Delta Town,[]
244950,Carefree Highway,[]
244953,You Can Have Her,[]
244961,California My Way,[]
244977,Give Me A Reason To Be Gone,[]
244978,Evil Boll-weevil,[]
244979,Early Morning Love,[]
244981,Overnight Sensation (Hit Record),[]
244982,Do It Baby,[]
244985,U.S. Of A,[]
245075,Doraville,[]
245079,Distant Lover,[]
245082,Stop And Smell The Roses,[]
245083,In The Bottle,[]
245085,Love Me For A Reason,[]
245152,Country Side Of Life,[]
245173,Steppin' Out (Gonna Boogie Tonight),[]
245174,Feel Like Making Love,[]
245179,Sweet Home Alabama,[]
245183,Easy Street,[]
245184,I Can't Leave You Alone,[]
245185,Skin Tight,[]
245235,She Called Me Baby,[]
245243,Pretzel Logic,[]
245249,Virgin Man,[]
245253,Second Avenue,[]
245258,Nothing From Nothing,[]
245259,You Little Trustmaker,[]
245267,Devotion,[]
245270,Loose Booty,[]
245273,Live It Up Part 1,[]
245277,Don't Eat The Yellow Snow,[]
245278,Bring Back The Love Of Yesterday,[]
245283,Candy's Going Bad,[]
245284,Beach Baby,[]
245285,Travelin' Shoes,[]
245352,Give It To The People,[]
245357,The Player - Part 1,[]
245379,Battle Of New Orleans,[]
245380,Earache My Eye,[]
245381,Another Saturday Night,[]
245382,Straight Shootin' Woman,[]
245383,Don't Send Nobody Else,[]
245384,Clap For The Wolfman,[]
245385,Blood Is Thicker Than Water,[]
245386,Papa Don't Take No Mess (Part I),[]
245445,Higher Plane,[]
245448,Kings Of The Party,[]
245477,"I Wash My Hands Of The Whole Damn Deal, Part I",[]
245483,I Love My Friend,[]
245484,You And Me Against The World,[]
245485,Free Man In Paris,[]
245486,Up For The Down Stroke,[]
245533,Hang On In There Baby,[]
245534,Rock Me Gently,[]
245545,My Country,[]
245572,James Dean,[]
245585,I'm A Ramblin' Man,[]
245586,"Can't Get Enough Of Your Love, Babe",[]
245633,(You're) Having My Baby,[]
245635,Who Do You Think You Are,[]
245643,I'm Leaving It (All) Up To You,[]
245645,Let's Put It All Together,[]
245651,Tell Her Love Has Felt The Need,[]
245660,Boogie Bands And One Night Stands,[]
245682,"Do It, Fluid",[]
245686,Honey Honey,[]
245728,It's Only Rock 'N Roll (But I Like It),[]
245729,Surfin' U.S.A.,[]
245744,The Night Chicago Died,[]
245755,Wildwood Weed,[]
245781,Delta Dirt,[]
245782,Rub It In,[]
245783,Sideshow,[]
245784,One Hell Of A Woman,[]
245785,It Could Have Been Me,[]
245786,I Saw A Man And He Danced With His Wife,[]
245856,Door To Your Heart,[]
245878,City In The Sky,[]
245879,Please Come To Boston,[]
245882,Takin' Care Of Business,[]
245884,Midnight Flower,[]
245885,Keep On Smilin',[]
245886,All Shook Up,[]
245934,Waterloo,[]
245935,Shinin' On,[]
245936,Sugar Baby Love,[]
245946,Don't Change Horses (In The Middle Of A Stream),[]
245954,ANNIE's SONG,[]
245981,Please Don't Tell Me How The Story Ends,[]
245982,Time For Livin',[]
245983,Ain't No Love In The Heart Of The City,[]
245984,Rock Your Baby,[]
245985,Sure As I'm Sittin' Here,[]
245986,You Can't Be A Beacon (if Your Light Don't Shine),[]
246043,River's Risin',[]
246049,Rings,[]
246057,Happiness Is Just Around The Bend,[]
246058,Kung Fu,[]
246059,Rock And Roll Heaven,[]
246077,Eyes Of Silver,[]
246080,My Thang,[]
246082,Wombling Summer Party,[]
246083,Rikki Don't Lose That Number,[]
246085,You Got To Be The One,[]
246171,Don't Knock My Love,[]
246175,The Air That I Breathe,[]
246178,Machine Gun,[]
246179,Most Likely You Go Your Way (And I'll Go Mine),[]
246181,Kalimba Story,[]
246182,Moonlight Special,[]
246184,Put Out The Light,[]
246185,You Make Me Feel Brand New,[]
246186,Travelin' Prayer,[]
246266,Fish Ain't Bitin',[]
246268,Secretary,[]
246280,Finally Got Myself Together (I'm A Changed Man),[]
246281,If You Talk In Your Sleep,[]
246282,That's Not How It Goes,[]
246283,Be Thankful For What You Got,[]
246285,You Turned My World Around,[]
246286,You Won't See Me,[]
246351,Between Her Goodbye And My Hello,[]
246366,If You Love Me (let Me Know),[]
246378,Hollywood Swinging,[]
246382,Walk On,[]
246383,Jive Turkey (Part 1),[]
246384,The Man That Turned My Mama On,[]
246385,Makin' The Best Of A Bad Situation,[]
246386,"Billy, Don't Be A Hero",[]
246443,Come Monday,[]
246444,Workin' At The Car Wash Blues,[]
246474,Get Out Of Denver,[]
246476,Captain Howdy,[]
246478,It's Better To Have (and Don't Need),[]
246481,Band On The Run,[]
246483,This Heart,[]
246484,Room Full Of Roses,[]
246486,"You're Welcome, Stop On By",[]
246555,Dancing Machine,[]
246568,Ballero,[]
246581,Sundown,[]
246583,I'm Coming Home,[]
246584,Old Home Filler-up An' Keep On-a-truckin' Cafe,[]
246585,Funky Party,[]
246641,Midnight At The Oasis,[]
246665,If You Wanna Get To Heaven,[]
246666,The Streak,[]
246669,Dance Master Pt. 1,[]
246673,Train Of Thought,[]
246677,Ma! (He's Making Eyes At Me),[]
246678,La Grange,[]
246743,Haven't Got Time For The Pain,[]
246762,My Girl Bill,[]
246769,There Will Never Be Any Peace (Until God Is Seated At The Conference Table),[]
246778,You've Got My Soul On Fire,[]
246784,Love Is The Message,[]
246785,Good Things Don't Last Forever,[]
246869,How Do You Feel The Morning After,[]
246870,Help Me,[]
246871,The Show Must Go On,[]
246873,I've Been Born Again,[]
246875,Rebel Rebel,[]
246876,I've Had It,[]
246878,Air Disaster,[]
246879,Tell Me That I'm Wrong,[]
246881,Worse Comes To Worst,[]
246884,American Girls,[]
246942,Don't You Worry 'Bout A Thing,[]
246947,I'm The Leader Of The Gang,[]
246975,What Goes Up (Must Come Down),[]
246980,I Wish It Was Me You Loved,[]
247033,Oh Very Young,[]
247040,When The Morning Comes,[]
247049,That Song Is Driving Me Crazy,[]
247050,The Same Love That Made Me Laugh,[]
247059,Mr. President,[]
247061,Silly Milly,[]
247074,I'm Falling In Love With You,[]
247086,Wake Up And Love Me,[]
247128,I Won't Last A Day Without You,[]
247129,Son Of Sagittarius,[]
247146,TSOP (The Sound Of Philadelphia),[]
247147,Living In The U.s.a.,[]
247156,King Of Nothing,[]
247162,I Hate Hate,[]
247163,Lamplight,[]
247169,Sho Nuff Boogie (Part I),[]
247185,Georgia Porcupine,[]
247186,Tell Laura I Love Her,[]
247224,(i've Been) Searchin' So Long,[]
247228,"Another Park, Another Sunday",[]
247237,One Chain Don't Make No Prison,[]
247241,Can You Handle It?,[]
247243,Star Baby,[]
247255,The Lone Ranger,[]
247269,Kissin' Time,[]
247271,Fox Hunt,[]
247286,It's Her Turn To Live,[]
247322,Just Don't Want To Be Lonely,[]
247324,Bennie And The Jets,[]
247330,Mighty Mighty,[]
247333,The Payback - Part I,[]
247345,Rock Around The Clock,[]
247349,Rhapsody In White,[]
247386,The Golden Age Of Rock 'n' Roll,[]
247428,Best Thing That Ever Happened To Me,[]
247435,I Don't See Me In Your Eyes Anymore,[]
247438,Oh My My,[]
247443,My Mistake (Was To Love You),[]
247444,Hooked On A Feeling,[]
247453,Satisfaction Guaranteed (Or Take Your Love Back),[]
247458,Help Yourself,[]
247464,Sleepin',[]
247468,(I'm A) YoYo Man,[]
247479,Dancin' (On A Saturday Night),[]
247536,Let It Ride,[]
247540,Keep On Singing,[]
247542,I'll Have To Say I Love You In A Song,[]
247550,Chameleon,[]
247558,Time Will Tell,[]
247561,Seasons In The Sun,[]
247572,Teen Angel,[]
247574,Scratch,[]
247575,Daybreaker,[]
247582,(everybody Wanna Get Rich) Rite Away,[]
247586,Love That Really Counts,[]
247629,Lookin' For A Love,[]
247634,Sunshine On My Shoulders,[]
247637,Standing At The End Of The Line,[]
247640,A Very Special Love Song,[]
247649,Outside Woman,[]
247653,Piano Man,[]
247721,The Lord's Prayer,[]
247733,I'm A Train,[]
247736,"Touch A Hand, Make A Friend",[]
247744,Thanks For Saving My Life,[]
247753,Keep It In The Family,[]
247754,Werewolf,[]
247756,Silver Threads And Golden Needles,[]
247763,Who Is He And What Is He To You,[]
247765,If I Were A Carpenter...,[]
247768,Under The Influence Of Love,[]
247786,"Bad, Bad Leroy Brown",[]
247834,Jet,[]
247839,Heavenly,[]
247842,Tell Me A Lie,[]
247845,Dance With The Devil,[]
247851,I Am What I Am,[]
247864,A Dream Goes On Forever,[]
247886,Billy - Don't Be A Hero,[]
247931,Eres Tu (Touch The Wind),[]
247937,Dark Lady,[]
247939,Mighty Love - Pt. 1,[]
247946,Jungle Boogie,[]
247952,Summer Breeze (Part 1),[]
247953,There Won't Be Anymore,[]
247961,Happiness Is Me And You,[]
248039,The Way We Were,[]
248046,Love's Theme,[]
248058,I've Got A Thing About You Baby/Take Good Care Of Her,[]
248060,Once You Understand,[]
248061,All In Love Is Fair,[]
248070,It Only Hurts When I Try To Smile,[]
248072,Put A Little Love Away,[]
248078,"If It Feels Good, Do It",[]
248137,Trying To Hold On To My Woman,[]
248141,"Rock And Roll, Hoochie Koo",[]
248153,Would You Lay With Me (in A Field Of Stone),[]
248164,Unborn Child,[]
248168,Pepper Box,[]
248186,Beyond The Blue Horizon,[]
248233,Until You Come Back To Me (That's What I'm Gonna Do),[]
248240,I'll Be The Other Woman,[]
248241,Spiders & Snakes,[]
248242,Your Cash Ain't Nothin' But Trash,[]
248249,Must Be Love,[]
248251,Virginia (Touch Me Like You Do),[]
248286,Might Just Take Your Life,[]
248327,Sexy Mama,[]
248347,"Honey Please, Can't Ya See",[]
248348,Put Your Hands Together,[]
248354,Last Time I Saw Him,[]
248356,Goin' Down Slow,[]
248357,Watching The River Run,[]
248434,WOLD,[]
248436,We're Getting Careless With Our Love,[]
248444,Homely Girl,[]
248459,I Wish It Was Me,[]
248486,Music Eyes,[]
248528,I Love,[]
248532,I Like To Live The Love,[]
248533,You're Sixteen,[]
248538,Let Me Be There,[]
248539,Energy Crisis '74,[]
248554,It's Been A Long Time,[]
248568,Americans,[]
248575,Doo Doo Doo Doo Doo (heartbreaker),[]
248579,Mr. Natural,[]
248639,Show And Tell,[]
248640,Abra-Ca-Dabra,[]
248643,Life Is A Song Worth Singing,[]
248658,I Just Can't Get You Out Of My Mind,[]
248661,Houston (I'm Comin' To See You),[]
248663,That's The Sound That Lonely Makes,[]
248679,"Quick, Fast, In A Hurry",[]
248684,There's Got To Be Rain In Your Life (To Appreciate The Sunshine),[]
248686,The Crude Oil Blues,[]
248726,Midnight Rider,[]
248727,I've Got To Use My Imagination,[]
248734,Jim Dandy,[]
248736,Can This Be Real,[]
248750,What It Comes Down To,[]
248773,Stop To Start,[]
248779,Get That Gasoline Blues,[]
248783,Newsy Neighbors,[]
248826,Smokin' In The Boy's Room,[]
248829,Baby Come Close,[]
248839,You Sure Love To Ball,[]
248877,What Is Hip?,[]
248882,A Mother For My Children,[]
248884,Try (Try To Fall In Love),[]
248925,"Never, Never Gonna Give Ya Up",[]
248929,Daddy What If,[]
248931,The Most Beautiful Girl,[]
248932,Time In A Bottle,[]
248934,The Americans (A Canadian's Opinion),[]
248935,You're So Unique,[]
248941,I Shall Sing,[]
248953,Jessica,[]
248973,Let Me Get To Know You,[]
249028,"""Joy"" Pt. I",[]
249029,Livin' For You,[]
249032,Leave Me Alone (ruby Red Dress),[]
249039,Me And Baby Brother,[]
249041,Goodbye Yellow Brick Road,[]
249044,Helen Wheels,[]
249045,Rockin' Roll Baby,[]
249048,Let Your Hair Down,[]
249049,Hello It's Me,[]
249054,Teenage Lament '74,[]
249057,When I Fall In Love/Are You Lonesome Tonight,[]
249086,The Real Me,[]
249143,Walk Like A Man,[]
249147,Sister Mary Elephant (Shudd-Up!),[]
249154,If You're Ready (Come Go With Me),[]
249159,This Time I'm Gone For Good,[]
249160,Love Has No Pride,[]
249162,Raised On Robbery,[]
249163,Wang Dang Doodle,[]
249165,Stoned To The Bone - Part 1,[]
249183,Flashback,[]
249244,If We Make It Through December,[]
249246,MIND GAMES,[]
249250,Just You 'n' Me,[]
249262,"One Tin Soldier, The Legend of Billy Jack",[]
249264,D'yer Mak'er,[]
249267,American Tune,[]
249274,(I'd Know You) Anywhere,[]
249281,Meadows,[]
249351,My Music,[]
249352,Painted Ladies,[]
249353,A Fool Such As I,[]
249354,Keep Your Head To The Sky,[]
249360,Who's In The Strawberry Patch With Sally,[]
249361,The Love I Lost (Part 1),[]
249365,It Doesn't Have To Be That Way,[]
249367,I Got A Name,[]
249379,Come Get To This,[]
249382,Hangin' Around,[]
249385,This Is Your Song,[]
249386,Can't Say Nothin',[]
249465,Tell Her She's Lovely,[]
249466,I Wanna Know Your Name,[]
249479,A Song I'd Like To Sing,[]
249481,Space Race,[]
249484,I Found Sunshine,[]
249485,"Please, Daddy",[]
249546,The River Of Love,[]
249559,Let Me Try Again (Laisse Moi Le Temps),[]
249564,Let Me Serenade You,[]
249582,Somewhere Between Love And Tomorrow,[]
249629,Midnight Train To Georgia,[]
249659,Smarty Pants,[]
249664,Ain't Got No Home,[]
249665,Blue Collar,[]
249671,Will You Love Me Tomorrow?,[]
249677,"It May Be Winter Outside, (But In My Heart It's Spring)",[]
249686,Could You Ever Love Me Again,[]
249725,Heartbeat - It's A Lovebeat,[]
249726,Keep On Truckin' (Part 1),[]
249732,Paper Roses,[]
249737,Corazón,[]
249762,"Love, Reign O'er Me",[]
249765,My Old School,[]
249767,Big Time Operator,[]
249780,Half A Million Miles From Home,[]
249782,Fell For You,[]
249828,You're A Special Part Of Me,[]
249837,Cheaper To Keep Her,[]
249839,Angie,[]
249840,Be,[]
249846,Pretty Lady,[]
249877,Come Live With Me,[]
249880,I'm A Rocker,[]
249929,Knockin' On Heaven's Door,[]
249937,Half-Breed,[]
249951,Mammy Blue,[]
249973,Love Me For What I Am/there Ain't No Way,[]
250032,We May Never Pass This Way (Again),[]
250037,Ramblin Man,[]
250040,Sweet Understanding Love,[]
250048,"""Having A Party"" Medley",[]
250052,Country Sunshine,[]
250053,Sail Around The World,[]
250061,It's All Over,[]
250062,"I Don't Know What It Is, But It Sure Is Funky",[]
250074,Little Girl Gone,[]
250132,Yes We Can Can,[]
250138,Friends/chapel Of Love,[]
250154,There Ain't No Way,[]
250156,Oh! No Not My Baby,[]
250159,Rock 'N Roll (I Gave You The Best Years of My Life),[]
250165,Frisky,[]
250180,Redneck Friend,[]
250184,Back For A Taste Of Your Love,[]
250220,That Lady (Part 1),[]
250222,Summer (The First Time),[]
250242,My Pretending Days Are Over,[]
250244,Funky Stuff,[]
250274,Vado Via,[]
250286,Stealin',[]
250321,Loves Me Like A Rock,[]
250330,We're An American Band,[]
250332,Basketball Jones Featuring Tyrone Shoelaces,[]
250352,Rocky Mountain Way,[]
250354,Raised On Rock/For Ol' Times Sake,[]
250367,You're In Good Hands,[]
250433,China Grove,[]
250441,You've Never Been This Far Before,[]
250455,Let Me Be Your Lovemaker,[]
250457,If I Were Only A Child Again,[]
250458,Such A Night,[]
250460,Sister James,[]
250481,Gotta Find A Way,[]
250482,You'd Better Believe It,[]
250528,Delta Dawn,[]
250545,(I Don't Want To Love You But) You Got Me Anyway,[]
250547,To Know You Is To Love You,[]
250559,Outlaw Man,[]
250564,Rubber Bullets,[]
250569,Roll In My Sweet Baby's Arms/I'm So Lonesome I Could Cry,[]
250584,"Hey, Little Girl",[]
250633,"Say, Has Anybody Seen My Sweet Gypsy Rose",[]
250638,Jimmy Loves Mary-Anne,[]
250640,Stoned Out Of My Mind,[]
250647,Ashes To Ashes,[]
250650,Hey Girl (i Like Your Style),[]
250657,Ridin' My Thumb To Mexico,[]
250674,West Coast Woman,[]
250676,Take A Closer Look At The Woman You're With,[]
250678,Mr. Skin,[]
250724,Brother Louie,[]
250726,Touch Me In The Morning,[]
250734,Theme From Cleopatra Jones,[]
250735,Saturday Night's Alright For Fighting,[]
250745,If You Want Me To Stay,[]
250746,Woman From Tokyo,[]
250751,This Time It's Real,[]
250762,Everybody's Had The Blues,[]
250768,You're The Best Thing That Ever Happened To Me,[]
250775,Blood Red And Goin' Down,[]
250784,Slippin' Away,[]
250786,Kid Stuff,[]
250827,Gypsy Man,[]
250837,Here I Am Come & Take Me,[]
250838,I've Got So Much To Give,[]
250844,Rhapsody In Blue,[]
250856,Evil,[]
250877,Love Is All,[]
250882,Farewell Andromeda (Welcome To My Morning),[]
250938,I Believe In You (You Believe In Me),[]
250941,"Sexy, Sexy, Sexy",[]
250945,Ghetto Child,[]
250946,Feelin' Stronger Every Day,[]
250976,He,[]
250986,Make Me Twice The Man,[]
251040,Sweet Harmony,[]
251041,The Morning After,[]
251045,The Last Thing On My Mind,[]
251053,Freedom For The Stallion,[]
251061,Send A Little Love My Way,[]
251062,Parrty - Part I,[]
251068,That's Why You Remember,[]
251081,As Time Goes By,[]
251132,A Million To One/Young Love,[]
251135,Nobody Wants You When You're Down And Out,[]
251139,Sweet Charlie Babe,[]
251149,Don't Let It End ('til You Let It Begin),[]
251155,All I Need Is Time,[]
251160,Twisting The Night Away,[]
251174,The Peacemaker,[]
251175,Queen Of The Roller Derby,[]
251176,"They're Coming To Take Me Away, Ha-Haaa!",[]
251184,Hang Loose,[]
251212,Are You Man Enough,[]
251217,Monster Mash,[]
251218,Uneasy Rider,[]
251251,Slick,[]
251260,Show Biz Kids,[]
251285,Soul Je T'aime,[]
251319,How Can I Tell Her,[]
251324,You Light Up My Life/Believe In Humanity,[]
251326,I Was Checkin' Out She Was Checkin' In,[]
251330,Baby I've Been Missing You,[]
251333,The Hurt,[]
251336,Smoke On The Water,[]
251344,Billion Dollar Babies,[]
251383,Until It's Time For You To Go,[]
251421,Yesterday Once More,[]
251429,So Very Hard To Go,[]
251430,Shambala,[]
251432,Behind Closed Doors,[]
251445,Everyone's Agreed That Everything Will Turn Out Fine,[]
251451,Bongo Rock,[]
251452,"Love, Love, Love",[]
251475,Stay Away From Me,[]
251523,Natural High,[]
251531,Will It Go Round In Circles,[]
251532,Boogie Woogie Bugle Boy,[]
251534,Right Place Wrong Time,[]
251535,Misdemeanor,[]
251548,Playground In My Mind,[]
251549,Where Peaceful Waters Flow,[]
251555,Sixty Minute Man/Mother-In-Law,[]
251566,One Tin Soldier (The Legend of Billy Jack),[]
251577,The Long Way Home,[]
251581,Sylvia,[]
251638,Long Train Runnin',[]
251640,Soul Makossa,[]
251642,I'll Always Love My Mama (Part I),[]
251643,Give Me Love - (Give Me Peace On Earth),[]
251644,Kodachrome,[]
251645,There's No Me Without You,[]
251658,Didn't I,[]
251665,"Lord, Mr. Ford",[]
251741,Doing It To Death,[]
251750,Over The Hills And Far Away,[]
251751,Roll Over Beethoven,[]
251753,Darling Come Back Home,[]
251755,It's Forever,[]
251759,Pillow Talk,[]
251760,Tequila Sunrise,[]
251762,I'm Gonna Love You Just A Little More Baby,[]
251764,"Never, Never, Never (Grande, Grande, Grande)",[]
251784,L.a. Freeway,[]
251842,One Of A Kind (Love Affair),[]
251845,"Daddy Could Swear, I Declare",[]
251849,Time To Get Down,[]
251852,Goin' Home,[]
251865,Finder's Keepers,[]
251866,Give Your Baby A Standing Ovation,[]
251868,He Did With Me,[]
251880,Smoke! Smoke! Smoke! (That Cigarette),[]
251942,Watergrate,[]
251948,The Plastic Man,[]
251953,And I Love You So,[]
251954,Swamp Witch,[]
251959,Blockbuster,[]
251962,I'd Rather Be A Cowboy,[]
251977,Roland The Roadie And Gertrude The Groupie,[]
251979,My Merry-go-round,[]
251985,Black Byrd,[]
251986,You Were Always There,[]
252026,Frankenstein,[]
252042,Hey You! Get Off My Mountain,[]
252057,You'll Never Get To Heaven (If You Break My Heart),[]
252059,Be What You Are,[]
252080,Brother's Gonna Work It Out,[]
252082,Giving It All Away,[]
252084,Tie A Yellow Ribbon Round The Ole Oak Tree,[]
252116,I'm Doin' Fine Now,[]
252144,Daniel,[]
252164,First Cut Is The Deepest,[]
252172,You Always Come Back (To Hurting Me),[]
252241,You Are The Sunshine Of My Life,[]
252243,Let's Pretend,[]
252248,Back When My Hair Was Short,[]
252250,The Free Electric Band,[]
252258,Love And Happiness,[]
252260,Kids Say The Darndest Things,[]
252267,Hocus Pocus,[]
252324,No More Mr. Nice Guy,[]
252327,Leaving Me,[]
252333,Stuck In The Middle With You,[]
252339,Steamroller Blues/Fool,[]
252346,Letter To Lucille,[]
252357,Funky Worm,[]
252366,Mother-in-law,[]
252371,Teddy Bear Song,[]
252375,I Can Make It Thru The Days (But Oh Those Lonely Nights),[]
252377,I Don't Want To Make You Wait,[]
252378,My Heart Just Keeps On Breakin',[]
252423,Little Willy,[]
252427,The Night The Lights Went Out In Georgia,[]
252432,Reeling In The Years,[]
252442,The Right Thing To Do,[]
252456,Super Fly Meets Shaft,[]
252484,Music Everywhere,[]
252542,With A Child's Heart,[]
252544,I Can Understand It,[]
252546,"It Sure Took A Long, Long Time",[]
252558,I' Been Watchin' You,[]
252559,Without You In My Life,[]
252560,Fencewalk,[]
252569,Hearts Of Stone,[]
